rank,player_name,position,projected_rank,target_price
1,Jahmyr Gibbs,RB,1,77.6
2,Bijan Robinson,RB,2,69.7
3,Christian McCaffrey,RB,3,65.7
4,Ja'Marr Chase,WR,1,63.0
5,Puka Nacua,WR,2,59.0
6,Jonathan Taylor,RB,4,57.1
7,James Cook III,RB,5,54.5
8,Jaxon Smith-Njigba,WR,3,52.8
9,Ashton Jeanty,RB,6,51.6
10,De'Von Achane,RB,7,50.1
11,Amon-Ra St. Brown,WR,4,49.1
12,Saquon Barkley,RB,8,48.6
13,A.J. Brown,WR,5,48.1
14,Derrick Henry,RB,9,46.2
15,Josh Jacobs,RB,10,43.2
16,Trey McBride,TE,1,43.1
17,Nico Collins,WR,6,43.0
18,Malik Nabers,WR,7,40.2
19,Kyren Williams,RB,11,39.5
20,Omarion Hampton,RB,12,37.1
21,Justin Jefferson,WR,8,35.8
22,Josh Allen,QB,1,34.1
23,Breece Hall,RB,13,33.9
24,CeeDee Lamb,WR,9,33.1
25,Chase Brown,RB,14,30.1
26,Drake London,WR,10,28.6
27,Brock Bowers,TE,2,27.7
28,Ladd McConkey,WR,11,27.6
29,Brian Thomas Jr.,WR,12,26.7
30,Bucky Irving,RB,15,26.5
31,Kenneth Walker III,RB,16,25.4
32,Marvin Harrison Jr.,WR,13,25.2
33,Lamar Jackson,QB,2,24.7
34,Alvin Kamara,RB,17,24.2
35,Tyreek Hill,WR,14,23.9
36,David Montgomery,RB,18,23.7
37,Davante Adams,WR,15,22.5
38,Isiah Pacheco,RB,19,22.0
39,Colston Loveland,TE,3,21.5
40,Drake Maye,QB,3,21.2
41,DK Metcalf,WR,16,20.8
42,Chuba Hubbard,RB,20,20.2
43,Terry McLaurin,WR,17,19.7
44,TreVeyon Henderson,RB,21,18.5
45,Garrett Wilson,WR,18,18.0
46,Tyler Warren,TE,4,17.3
47,Tee Higgins,WR,19,16.8
48,Jayden Daniels,QB,4,16.5
49,RJ Harvey,RB,22,16.3
50,DJ Moore,WR,20,15.5
51,Tony Pollard,RB,23,15.3
52,Patrick Mahomes,QB,5,15.0
53,Courtland Sutton,WR,21,14.8
54,Rhamondre Stevenson,RB,24,14.3
55,Zay Flowers,WR,22,14.3
56,George Pickens,WR,23,13.3
57,Javonte Williams,RB,25,13.3
58,Tucker Kraft,TE,5,12.9
59,Jameson Williams,WR,24,12.8
60,Aaron Jones Sr.,RB,26,12.1
61,Jordan Addison,WR,25,11.9
62,Joe Burrow,QB,6,11.8
63,Joe Mixon,RB,27,11.8
64,Rome Odunze,WR,26,11.6
65,Najee Harris,RB,28,11.3
66,Mike Evans,WR,27,11.3
67,Sam LaPorta,TE,6,11.1
68,Chris Olave,WR,28,10.9
69,Jalen Hurts,QB,7,10.6
70,Calvin Ridley,WR,29,10.3
71,Xavier Worthy,WR,30,10.1
72,Zach Charbonnet,RB,29,9.9
73,Tyrone Tracy Jr.,RB,30,9.4
74,Jaylen Waddle,WR,31,9.4
75,Deebo Samuel,WR,32,9.2
76,George Kittle,TE,7,9.2
77,Keenan Allen,WR,33,9.1
78,Travis Etienne Jr.,RB,31,8.7
79,Bo Nix,QB,8,8.4
80,D'Andre Swift,RB,32,8.1
81,Jerry Jeudy,WR,34,7.9
82,Rashee Rice,WR,35,7.7
83,J.K. Dobbins,RB,33,7.6
84,Travis Hunter,WR,36,7.4
85,Jaylen Warren,RB,34,7.1
86,Emeka Egbuka,WR,37,7.1
87,Travis Kelce,TE,8,7.1
88,Jared Goff,QB,9,6.6
89,Matthew Golden,WR,38,6.6
90,Brian Robinson,RB,35,6.4
91,Rachaad White,RB,36,6.1
92,Justin Herbert,QB,10,6.0
93,Tetairoa McMillan,WR,39,5.9
94,Austin Ekeler,RB,37,5.5
95,T.J. Hockenson,TE,9,5.4
96,Devin Singletary,RB,38,5.2
97,C.J. Stroud,QB,11,5.0
98,Ricky Pearsall,WR,40,5.0
99,Jerome Ford,RB,39,4.9
100,Jauan Jennings,WR,41,4.9
101,Broncos,DEF,1,4.9
102,Khalil Shakir,WR,42,4.5
103,Tank Bigsby,RB,40,4.4
104,Josh Downs,WR,43,4.2
105,Kyler Murray,QB,12,4.2
106,Gus Edwards,RB,41,4.0
107,Mark Andrews,TE,10,4.0
108,Rashod Bateman,WR,44,3.7
109,Zamir White,RB,42,3.7
110,Darnell Mooney,WR,45,3.7
111,Rico Dowdle,RB,43,3.5
112,Brock Purdy,QB,13,3.5
113,Christian Kirk,WR,46,3.4
114,Marvin Mims Jr.,WR,47,3.4
115,Jayden Reed,WR,48,3.2
116,David Njoku,TE,11,3.2
117,Romeo Doubs,WR,49,3.0
