season,round,pick_in_round,overall_pick,player_name,team_name_raw
2019,1,1,1,Saquon Barkley,Ron Mexico's...
2019,1,2,2,Christian McCaffrey,DruDru Smith...
2019,1,3,3,Alvin Kamara,Futt Bumble
2019,1,4,4,Ezekiel Elliott,By The Beard...
2019,1,5,5,Julio Jones,Gates of Wrath
2019,1,6,6,David Johnson,Can You Digg...
2019,1,7,7,DeAndre Hopkins,White Lightning
2019,1,8,8,Davante Adams,Davante's ...
2019,1,9,9,Le'Veon Bell,Me-Cole Horny
2019,1,10,10,Dalvin Cook,Pop Lockett ...
2019,1,11,11,Tyreek Hill,Surrender Yo...
2019,1,12,12,Odell Beckham Jr.,Catalina Win...
2019,2,1,13,Joe Mixon,Catalina Win...
2019,2,2,14,Michael Thomas,Surrender Yo...
2019,2,3,15,JuJu Smith-Schuster,Pop Lockett ...
2019,2,4,16,Antonio Brown,Me-Cole Horny
2019,2,5,17,Todd Gurley,Davante's ...
2019,2,6,18,Damien Williams,White Lightning
2019,2,7,19,Travis Kelce,Can You Digg...
2019,2,8,20,Mike Evans,Gates of Wrath
2019,2,9,21,Leonard Fournette,By The Beard...
2019,2,10,22,George Kittle,Futt Bumble
2019,2,11,23,Keenan Allen,DruDru Smith...
2019,2,12,24,Amari Cooper,Ron Mexico's...
2019,3,1,25,Aaron Jones Sr.,Ron Mexico's...
2019,3,2,26,Kerryon Johnson,DruDru Smith...
2019,3,3,27,Devonta Freeman,Futt Bumble
2019,3,4,28,Adam Thielen,By The Beard...
2019,3,5,29,Robert Woods,Gates of Wrath
2019,3,6,30,Stefon Diggs,Can You Digg...
2019,3,7,31,Zach Ertz,White Lightning
2019,3,8,32,Josh Jacobs,Davante's ...
2019,3,9,33,Derrick Henry,Me-Cole Horny
2019,3,10,34,Marlon Mack,Pop Lockett ...
2019,3,11,35,Chris Carson,Surrender Yo...
2019,3,12,36,Chris Godwin Jr.,Catalina Win...
2019,4,1,37,David Montgomery,Catalina Win...
2019,4,2,38,Mark Ingram II,Surrender Yo...
2019,4,3,39,Brandin Cooks,Pop Lockett ...
2019,4,4,40,Patrick Mahomes,Me-Cole Horny
2019,4,5,41,Sony Michel,Davante's ...
2019,4,6,42,Julian Edelman,White Lightning
2019,4,7,43,T.Y. Hilton,Can You Digg...
2019,4,8,44,Tevin Coleman,Gates of Wrath
2019,4,9,45,Cooper Kupp,By The Beard...
2019,4,10,46,Deshaun Watson,Futt Bumble
2019,4,11,47,Tyler Boyd,DruDru Smith...
2019,4,12,48,Melvin Gordon III,Ron Mexico's...
2019,5,1,49,Josh Gordon,Ron Mexico's...
2019,5,2,50,O.J. Howard,DruDru Smith...
2019,5,3,51,Allen Robinson,Futt Bumble
2019,5,4,52,Austin Ekeler,By The Beard...
2019,5,5,53,DJ Moore,Gates of Wrath
2019,5,6,54,Phillip Lindsay,Can You Digg...
2019,5,7,55,James White,White Lightning
2019,5,8,56,Robbie Chosen,Davante's ...
2019,5,9,57,Miles Sanders,Me-Cole Horny
2019,5,10,58,Duke Johnson,Pop Lockett ...
2019,5,11,59,Latavius Murray,Surrender Yo...
2019,5,12,60,Christian Kirk,Catalina Win...
