pick,team_name,player_name,position,nfl_team,is_keeper
1,Jahmyracle Whip,Jahmyr Gibbs,RB,Lions,False
24,Jahmyracle Whip,Ashton Jeanty,RB,Raiders,False
25,Jahmyracle Whip,Javonte Williams,RB,Cowboys,False
48,Jahmyracle Whip,Christian Watson,WR,Packers,False
49,Jahmyracle Whip,Jameson Williams,WR,Lions,False
72,Jahmyracle Whip,Caleb Williams,QB,Bears,False
73,Jahmyracle Whip,Jonathon Brooks,RB,Panthers,False
96,Jahmyracle Whip,KC Concepcion,WR,Browns,False
97,Jahmyracle Whip,Jordan Addison,WR,Vikings,False
120,Jahmyracle Whip,Dalton Kincaid,TE,Bills,True
121,Jahmyracle Whip,Malik Willis,QB,Dolphins,False
144,Jahmyracle Whip,Dylan Sampson,RB,Browns,False
145,Jahmyracle Whip,Greg Dulcich,TE,Dolphins,False
168,Jahmyracle Whip,Chargers,DEF,Chargers,False
2,Surrender Your Booty,Bijan Robinson,RB,Falcons,False
23,Surrender Your Booty,Kyren Williams,RB,Rams,False
26,Surrender Your Booty,Chris Olave,WR,Saints,False
47,Surrender Your Booty,Parker Washington,WR,Jaguars,False
50,Surrender Your Booty,Tyler Warren,TE,Colts,False
71,Surrender Your Booty,Rico Dowdle,RB,Steelers,False
74,Surrender Your Booty,DK Metcalf,WR,Steelers,False
95,Surrender Your Booty,Kenneth Gainwell,RB,Buccaneers,False
98,Surrender Your Booty,Jalen Coker,WR,Panthers,False
119,Surrender Your Booty,Chris Rodriguez Jr.,RB,Jaguars,False
122,Surrender Your Booty,Xavier Worthy,WR,Chiefs,False
143,Surrender Your Booty,Brock Purdy,QB,49ers,False
146,Surrender Your Booty,Braelon Allen,RB,Jets,False
167,Surrender Your Booty,Tre Harris,WR,Chargers,False
3,Ron Mexico's Perro,Ja'Marr Chase,WR,Bengals,False
22,Ron Mexico's Perro,Brock Bowers,TE,Raiders,False
27,Ron Mexico's Perro,Malik Nabers,WR,Giants,False
46,Ron Mexico's Perro,DJ Moore,WR,Bills,False
51,Ron Mexico's Perro,Bhayshul Tuten,RB,Jaguars,False
70,Ron Mexico's Perro,Joe Burrow,QB,Bengals,False
75,Ron Mexico's Perro,Tony Pollard,RB,Titans,False
94,Ron Mexico's Perro,Justin Herbert,QB,Chargers,False
99,Ron Mexico's Perro,Stefon Diggs,WR,Commanders,False
118,Ron Mexico's Perro,Khalil Shakir,WR,Bills,True
123,Ron Mexico's Perro,Rachaad White,RB,Commanders,False
142,Ron Mexico's Perro,Dallas Goedert,TE,Eagles,False
147,Ron Mexico's Perro,Rashid Shaheed,WR,Seahawks,False
166,Ron Mexico's Perro,Eagles,DEF,Eagles,False
4,LaPorta Potty,Puka Nacua,WR,Rams,False
21,LaPorta Potty,George Pickens,WR,Cowboys,False
28,LaPorta Potty,Josh Allen,QB,Bills,False
45,LaPorta Potty,Bucky Irving,RB,Buccaneers,False
52,LaPorta Potty,David Montgomery,RB,Texans,False
69,LaPorta Potty,Harold Fannin Jr.,TE,Browns,False
76,LaPorta Potty,Josh Downs,WR,Colts,False
93,LaPorta Potty,Jayden Reed,WR,Packers,False
100,LaPorta Potty,Jordan Mason,RB,Vikings,False
117,LaPorta Potty,Courtland Sutton,WR,Broncos,False
124,LaPorta Potty,Aaron Jones,RB,Vikings,False
141,LaPorta Potty,Mark Andrews,TE,Ravens,False
148,LaPorta Potty,Broncos,DEF,Broncos,False
165,LaPorta Potty,Tyler Shough,QB,Saints,False
5,Wild Bill,Amon-Ra St. Brown,WR,Lions,False
20,Wild Bill,Nico Collins,WR,Texans,False
29,Wild Bill,Jeremiyah Love,RB,Cardinals,False
44,Wild Bill,Terry McLaurin,WR,Commanders,False
53,Wild Bill,Jadarian Price,RB,Seahawks,False
68,Wild Bill,Marvin Harrison Jr.,WR,Cardinals,False
77,Wild Bill,Brian Thomas Jr.,WR,Jaguars,False
92,Wild Bill,Jaxson Dart,QB,Giants,False
101,Wild Bill,Isaiah Likely,TE,Giants,False
116,Wild Bill,Chris Godwin Jr.,WR,Buccaneers,True
125,Wild Bill,Tyjae Spears,RB,Titans,False
140,Wild Bill,Deebo Samuel,WR,49ers,False
149,Wild Bill,Kyler Murray,QB,Vikings,False
164,Wild Bill,Seahawks,DEF,Seahawks,False
6,Swifties and a Tight End,Jonathan Taylor,RB,Colts,False
19,Swifties and a Tight End,Derrick Henry,RB,Ravens,False
30,Swifties and a Tight End,DeVonta Smith,WR,Eagles,False
43,Swifties and a Tight End,Tetairoa McMillan,WR,Panthers,False
54,Swifties and a Tight End,Tucker Kraft,TE,Packers,False
67,Swifties and a Tight End,Michael Wilson,WR,Cardinals,False
78,Swifties and a Tight End,Trevor Lawrence,QB,Jaguars,False
91,Swifties and a Tight End,Matthew Golden,WR,Packers,False
102,Swifties and a Tight End,RJ Harvey,RB,Broncos,False
115,Swifties and a Tight End,Zach Charbonnet,RB,Seahawks,False
126,Swifties and a Tight End,Keaton Mitchell,RB,Chargers,False
139,Swifties and a Tight End,Texans,DEF,Texans,False
150,Swifties and a Tight End,Keenan Allen,WR,Colts,False
163,Swifties and a Tight End,Demond Claiborne,RB,Vikings,False
7,Lamb Over Rice,Jaxon Smith-Njigba,WR,Seahawks,False
18,Lamb Over Rice,Chase Brown,RB,Bengals,False
31,Lamb Over Rice,Zay Flowers,WR,Ravens,False
42,Lamb Over Rice,D'Andre Swift,RB,Bears,False
55,Lamb Over Rice,Rhamondre Stevenson,RB,Patriots,False
