team,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12
49ers,Broncos,Seahawks,Commanders,Falcons,BYE,Raiders,Cowboys,Vikings,Seahawks
Bears,Jets,Packers,Falcons,Patriots,Seahawks,Buccaneers,BYE,Saints,Lions
Bengals,Jaguars,Dolphins,BYE,Ravens,Titans,Falcons,Steelers,Commanders,Saints
Bills,Patriots,Rams,Raiders,BYE,Ravens,Vikings,Jets,Dolphins,Chiefs
Broncos,49ers,Chargers,Seahawks,Cardinals,Chiefs,Panthers,BYE,Raiders,Steelers
Browns,Steelers,Jets,Ravens,Titans,Steelers,Saints,Texans,BYE,Raiders
Buccaneers,Packers,Cowboys,Steelers,Panthers,Falcons,Bears,BYE,Lions,Panthers
Cardinals,Giants,Lions,Rams,Broncos,Cowboys,Seahawks,Rams,Chiefs,Commanders
Chargers,Seahawks,Broncos,Chiefs,BYE,Rams,Texans,Ravens,Jets,Patriots
Chiefs,Raiders,BYE,Chargers,Seahawks,Broncos,Jets,Falcons,Cardinals,Bills
Colts,Commanders,Steelers,Titans,Vikings,Jaguars,Cowboys,Dolphins,Texans,Giants
Commanders,Colts,Giants,49ers,BYE,Eagles,Rams,Giants,Bengals,Cardinals
Cowboys,Texans,Buccaneers,Packers,Eagles,Cardinals,Colts,49ers,Titans,Eagles
Dolphins,Vikings,Bengals,BYE,Jets,Patriots,Lions,Colts,Bills,Jets
Eagles,Rams,Jaguars,Panthers,Cowboys,Commanders,Giants,BYE,Steelers,Cowboys
Falcons,Saints,Ravens,Bears,49ers,Buccaneers,Bengals,Chiefs,BYE,Vikings
Giants,Cardinals,Commanders,Saints,Texans,BYE,Eagles,Commanders,Jaguars,Colts
Jaguars,Bengals,Eagles,Texans,BYE,Colts,Ravens,Titans,Giants,Titans
Jets,Bears,Browns,Patriots,Dolphins,Raiders,Chiefs,Bills,Chargers,Dolphins
Lions,Panthers,Cardinals,BYE,Packers,Vikings,Dolphins,Patriots,Buccaneers,Bears
Packers,Buccaneers,Bears,Cowboys,Lions,Panthers,Patriots,Vikings,BYE,Rams
Panthers,Lions,BYE,Eagles,Buccaneers,Packers,Broncos,Saints,Ravens,Buccaneers
Patriots,Bills,Raiders,Jets,Bears,Dolphins,Packers,Lions,BYE,Chargers
Raiders,Chiefs,Patriots,Bills,Rams,Jets,49ers,Seahawks,Broncos,Browns
Rams,Eagles,Bills,Cardinals,Raiders,Chargers,Commanders,Cardinals,BYE,Packers
Ravens,Titans,Falcons,Browns,Bengals,Bills,Jaguars,Chargers,Panthers,Texans
Saints,Falcons,Vikings,Giants,Steelers,BYE,Browns,Panthers,Bears,Bengals
Seahawks,Chargers,49ers,Broncos,Chiefs,Bears,Cardinals,Raiders,BYE,49ers
Steelers,Browns,Colts,Buccaneers,Saints,Browns,BYE,Bengals,Eagles,Broncos
Texans,Cowboys,Titans,Jaguars,Giants,BYE,Chargers,Browns,Colts,Ravens
Titans,Ravens,Texans,Colts,Browns,Bengals,BYE,Jaguars,Cowboys,Jaguars
Vikings,Dolphins,Saints,BYE,Colts,Lions,Bills,Packers,49ers,Falcons
