pick,round,team,player,pos
1,1,Welcome To The Big Show,Jahmyr Gibbs,RB
2,1,A.I see what you done there?,Bijan Robinson,RB
3,1,Spokane Jackalopes,Ja'Marr Chase,WR
4,1,The Leviathan,Puka Nacua,WR
5,1,Calculated chaos,CeeDee Lamb,WR
6,1,The Jaxsen Tyus's,Christian McCaffrey,RB
7,1,Legion of worst,Jonathan Taylor,RB
8,1,Steely,Jaxon Smith-Njigba,WR
9,1,RigoRigo,James Cook III,RB
10,1,Church of Gronk,Amon-Ra St. Brown,WR
11,1,Favre Dolar Footlong,Justin Jefferson,WR
12,1,MMFFL,De'Von Achane,RB
13,1,WashMo,A.J. Brown,WR
14,1,Southeastern FL,Chase Brown,RB
15,1,GeetheWhiz,Nico Collins,WR
16,1,SD Boyz,Derrick Henry,RB
17,2,SD Boyz,Saquon Barkley,RB
18,2,GeetheWhiz,Kyren Williams,RB
19,2,Southeastern FL,Drake London,WR
20,2,WashMo,Omarion Hampton,RB
21,2,MMFFL,Chris Olave,WR
22,2,Favre Dolar Footlong,Rashee Rice,WR
23,2,Church of Gronk,Brock Bowers,TE
24,2,RigoRigo,Garrett Wilson,WR
25,2,Steely,Kenneth Walker III,RB
26,2,Calculated chaos,Trey McBride,TE
27,2,The Jaxsen Tyus's,Ashton Jeanty,RB
28,2,Legion of worst,DeVonta Smith,WR
29,2,The Leviathan,Josh Allen,QB
30,2,Spokane Jackalopes,Javonte Williams,RB
31,2,A.I see what you done there?,Jeremiyah Love,RB
32,2,Welcome To The Big Show,Emeka Egbuka,WR
33,3,Welcome To The Big Show,Malik Nabers,WR
34,3,A.I see what you done there?,Zay Flowers,WR
35,3,Spokane Jackalopes,D'Andre Swift,RB
36,3,The Leviathan,George Pickens,WR
37,3,Legion of worst,Tee Higgins,WR
38,3,The Jaxsen Tyus's,Tetairoa McMillan,WR
39,3,Calculated chaos,Lamar Jackson,QB
40,3,Steely,Jaylen Waddle,WR
41,3,RigoRigo,Tyler Warren,TE
42,3,Church of Gronk,David Montgomery,RB
43,3,Favre Dolar Footlong,Ladd McConkey,WR
44,3,MMFFL,Colston Loveland,TE
45,3,WashMo,Davante Adams,WR
46,3,Southeastern FL,Luther Burden III,WR
47,3,GeetheWhiz,Travis Etienne Jr.,RB
48,3,SD Boyz,Terry McLaurin,WR
49,4,SD Boyz,Rome Odunze,WR
50,4,GeetheWhiz,Jameson Williams,WR
51,4,Southeastern FL,Breece Hall,RB
52,4,WashMo,DJ Moore,WR
53,4,MMFFL,Drake Maye,QB
54,4,Favre Dolar Footlong,Cam Skattebo,RB
55,4,Church of Gronk,Bhayshul Tuten,RB
56,4,RigoRigo,Rachaad White,RB
57,4,Steely,Mike Evans,WR
58,4,Calculated chaos,Marvin Harrison Jr.,WR
59,4,The Jaxsen Tyus's,Parker Washington,WR
60,4,Legion of worst,Joe Burrow,QB
61,4,The Leviathan,Bucky Irving,RB
62,4,Spokane Jackalopes,Christian Watson,WR
63,4,A.I see what you done there?,Tucker Kraft,TE
64,4,Welcome To The Big Show,Quinshon Judkins,RB
65,5,Welcome To The Big Show,Jayden Daniels,QB
66,5,A.I see what you done there?,Chris Godwin Jr.,WR
67,5,Spokane Jackalopes,Caleb Williams,QB
68,5,The Leviathan,Jadarian Price,RB
69,5,Legion of worst,De'Zhaun Stribling,WR
70,5,The Jaxsen Tyus's,Carnell Tate,WR
71,5,Calculated chaos,Alec Pierce,WR
