team,faab_total,faab_spent,faab_remaining,is_you
Welcome To The Big Show,500,0,500,False
A.I see what you done there?,500,0,500,False
Spokane Jackalopes,500,0,500,False
The Leviathan,500,0,500,False
Calculated chaos,500,0,500,True
The Jaxsen Tyus's,500,0,500,False
Legion of worst,500,0,500,False
Steely,500,0,500,False
RigoRigo,500,0,500,False
Church of Gronk,500,0,500,False
Favre Dolar Footlong,500,0,500,False
MMFFL,500,0,500,False
WashMo,500,0,500,False
Southeastern FL,500,0,500,False
GeetheWhiz,500,0,500,False
SD Boyz,500,0,500,False
