week,player_name,team_owner,position,points
1,Lamar Jackson,Calculated chaos,QB,24.96
1,Trey McBride,Calculated chaos,TE,24.5
1,Devaughn Vele,Calculated chaos,WR,19.9
1,CeeDee Lamb,Calculated chaos,WR,15.4
1,Marlon Humphrey,Calculated chaos,DB,13.25
1,Baker Mayfield,Calculated chaos,QB,11.64
1,Jordyn Brooks,Calculated chaos,LB,11.25
1,Evan McPherson,Calculated chaos,K,11.0
1,Jeremy Chinn,Calculated chaos,DB,10.75
1,Alec Pierce,Calculated chaos,WR,10.1
1,Jalen Carter,Calculated chaos,DL,8.0
1,Ted Hurst III,Calculated chaos,WR,6.6
1,Jamien Sherwood,Calculated chaos,LB,4.5
1,Jeffery Simmons,Calculated chaos,DL,4.5
1,Marvin Harrison Jr.,Calculated chaos,WR,4.3
1,Rico Dowdle,Calculated chaos,RB,4.1
1,Chris Brooks,Calculated chaos,RB,2.9
1,Kenneth Gainwell,Calculated chaos,RB,2.8
1,Jake Ferguson,Calculated chaos,TE,2.6
1,T.J. Watt,FA,LB,33.0
1,Greg Rousseau,FA,LB,28.0
1,Quentin Lake,FA,DB,23.75
1,Nakobe Dean,FA,LB,20.25
1,Andrew Wingard,FA,DB,20.25
1,Julian Love,FA,DB,18.5
1,Zach Allen,FA,DL,18.0
1,Andrew Van Ginkel,FA,LB,17.75
1,Barrett Carter,FA,LB,17.75
1,Payton Wilson,FA,LB,17.5
1,Terrel Bernard,FA,LB,17.5
1,Devin Singletary,FA,RB,13.8
1,Noah Fant,FA,TE,13.3
1,Cole Kmet,FA,TE,11.5
1,Jack Bech,FA,WR,11.3
1,David Njoku,FA,TE,10.8
1,Pat Bryant,FA,WR,8.2
1,Elic Ayomanor,FA,WR,8.1
1,Jaylin Noel,FA,WR,7.3
1,Cade Otton,FA,TE,5.6
