season,team_name,wins,losses,pf,pa,finish,champion
2025,Shake 'n Bake,8,6,1367.62,1373.56,1,True
2025,Team Mel,8,6,1365.26,1313.56,2,False
2025,Till Draft Do Us Part,9,5,1455.36,1196.74,3,False
2025,JP'Marrgan Chase,9,5,1301.16,1171.82,4,False
2025,HitmonAchanes,8,6,1416.32,1197.86,5,False
2025,Wild Bill,9,5,1287.94,1287.1,6,False
2025,Jeff,3,11,1141.44,1315.5,7,False
2025,Calvin and Hobbes,7,7,1355.4,1410.08,8,False
2025,The Wet Bandits,7,7,1366.66,1419.52,9,False
2025,The Gungans,6,8,1278.44,1358.04,10,False
2025,Surrender Your Booty,4,10,1200.3,1491.68,11,False
2025,Bye Week,6,8,1279.22,1279.66,12,False
2024,Bye Week,9,5,1533.44,1351.38,1,True
2024,Hawk Nacua,7,7,1320.14,1249.8,2,False
2024,The Verticoli,12,2,1373.52,1187.98,3,False
2024,Just Joshin It,9,5,1458.3,1402.46,4,False
2024,The Wet Bandits,9,5,1492.88,1304.6,5,False
2024,Tinis & Weenies,7,7,1337.1,1313.86,6,False
2024,Ju-jeudyfruits,6,8,1381.86,1430.34,7,False
2024,System of a Downs,7,7,1271.9,1336.7,8,False
2024,The Tortured Pitt...,6,8,1253.88,1362.94,9,False
2024,Surrender Your Booty,7,7,1269.44,1292.06,10,False
2024,Wild Bill,2,12,1119.64,1342.58,11,False
2024,Team Mel,3,11,1135.3,1372.7,12,False
2023,The Wet Bandits,8,6,1510.18,1506.3,1,True
2023,When Quads Met Calf,10,4,1443.32,1269.5,2,False
2023,The Verticoli,11,3,1350.6,1227.08,3,False
2023,Surrender Your Booty,9,5,1567.04,1330.64,4,False
2023,Team Mel,7,7,1197.12,1261.52,5,False
2023,Ju-jeudyfruits,7,7,1247.44,1371.54,6,False
2023,My3Sons,5,9,1379.58,1364.12,7,False
2023,Herb Your Enthusiasm,6,8,1312.76,1362.88,8,False
2023,Run CMC,5,9,1320.94,1465.16,9,False
2023,Near Far Wherever...,6,8,1268.04,1388.94,10,False
2023,Dobbin' for Apples,5,9,1210.4,1268.5,11,False
2023,FlyEaglesFly,5,9,1343.9,1335.14,12,False
2022,Team Mel,9,5,1575.34,1409.82,1,True
2022,The Verticoli,7,7,1272.2,1191.46,2,False
2022,Josh Jacobs Jingl...,10,4,1678.44,1356.64,3,False
2022,Pop Lockett Drop It,10,4,1312.02,1220.28,4,False
2022,Running is exercise,7,7,1324.26,1387.46,5,False
2022,The Wet Bandits,7,7,1267.06,1303.26,6,False
2022,Dillon' Em Softly,7,7,1183.42,1244.16,7,False
2022,Scary Terry,4,10,1341.26,1465.22,8,False
2022,Surrender Your Booty,7,7,1252.1,1351.82,9,False
2022,Waddle Waddle Wad...,6,8,1269.7,1409.12,10,False
2022,My3Sons,4,10,1366.76,1491.62,11,False
2022,Cobra Kyler,6,8,1278.7,1290.4,12,False
2021,Nuk If You Buck,9,5,1410.66,1378.64,1,True
2021,The Wet Bandits,9,5,1440.26,1258.9,2,False
2021,Build The Waller,8,6,1295.42,1244.4,3,False
2021,Saquon Bustley,7,7,1547.9,1458.52,4,False
2021,Running is exercise,8,6,1334.72,1332.36,5,False
2021,Surrender Your Booty,8,6,1324.68,1307.5,6,False
2021,Waddle Waddle Wad...,4,10,1263.38,1373.42,7,False
2021,The Verticoli,6,8,1388.26,1452.08,8,False
2021,King Of The North,7,7,1372.94,1395.38,9,False
2021,Team Mel,6,8,1332.54,1416.56,10,False
2021,My3Sons,6,8,1362.22,1385.28,11,False
2021,Pitt's Creek,6,8,1344.76,1414.7,12,False
2020,Home Sweet Mahomes,6,7,1263.24,1333.46,1,True
2020,The Chubbsters,9,4,1358.9,1350.76,2,False
2020,Kyler the Creator,13,0,1530.88,1177.32,3,False
2020,My3Sons,6,7,1291.58,1280.12,4,False
2020,Surrender Your Booty,8,5,1310.84,1286.58,5,False
2020,Boyd Rage,7,6,1364.38,1342.12,6,False
2020,The Wet Bandits,5,8,1253.28,1250.46,7,False
2020,Running is exercise,6,7,1186.26,1129.82,8,False
2020,The ALL-IR team,6,7,1083.04,1199.7,9,False
2020,The Verticoli,4,9,1291.74,1328.54,10,False
2020,Here Kitty Kitty,3,10,1175.58,1357.1,11,False
2020,Cookin up the White,5,8,1223.94,1297.68,12,False
