team,player_name,position,nfl_team,price_paid
Baby Mama,Christian McCaffrey,RB,49ers,58
Baby Mama,DeVonta Smith,WR,Eagles,44
Baby Mama,Tucker Kraft,TE,Packers,13
Baby Mama,Zay Flowers,WR,Ravens,22
Baby Mama,Lamar Jackson,QB,Ravens,15
Baby Mama,Mike Evans,WR,49ers,10
Baby Mama,Carnell Tate,WR,Titans,9
Baby Mama,Keaton Mitchell,RB,Chargers,2
Baby Mama,Vikings,DEF,Vikings,1
Baby Mama,Stefon Diggs,WR,Commanders,2
Baby Mama,Aaron Jones Sr.,RB,Vikings,1
Baby Mama,Kenny Gainwell,RB,Buccaneers,2
Baby Mama,Matthew Stafford,QB,Rams,2
Baby Mama,Cam Skattebo,RB,Giants,17
Bye Week,Breece Hall,RB,Jets,16
Bye Week,Chris Olave,WR,Saints,31
Bye Week,Malik Nabers,WR,Giants,28
Bye Week,Tetairoa McMillan,WR,Panthers,26
Bye Week,Justin Herbert,QB,Chargers,5
Bye Week,Parker Washington,WR,Jaguars,9
Bye Week,Wan'Dale Robinson,WR,Titans,4
Bye Week,Jadarian Price,RB,Seahawks,9
Bye Week,Jacory Croskey-Merritt,RB,Commanders,6
Bye Week,Blake Corum,RB,Rams,7
Bye Week,Jordy Tyson,WR,Saints,6
Bye Week,MarShawn Lloyd,RB,Packers,4
Bye Week,Harold Fannin Jr.,TE,Browns,9
Bye Week,Jayden Daniels,QB,Commanders,13
Calvin and Hobbes,Jonathan Taylor,RB,Colts,61
Calvin and Hobbes,Omarion Hampton,RB,Chargers,48
Calvin and Hobbes,Terry McLaurin,WR,Commanders,15
Calvin and Hobbes,Marvin Harrison Jr.,WR,Cardinals,7
Calvin and Hobbes,Sam LaPorta,TE,Lions,6
Calvin and Hobbes,TreVeyon Henderson,RB,Patriots,14
Calvin and Hobbes,Chuba Hubbard,RB,Panthers,6
Calvin and Hobbes,Rams,DEF,Rams,6
Calvin and Hobbes,DK Metcalf,WR,Steelers,6
Calvin and Hobbes,Brian Thomas Jr.,WR,Jaguars,8
Calvin and Hobbes,J.K. Dobbins,RB,Broncos,4
Calvin and Hobbes,C.J. Stroud,QB,Texans,1
Calvin and Hobbes,Oronde Gadsden,TE,Chargers,3
Calvin and Hobbes,Quinshon Judkins,RB,Browns,15
HitmonAchanes,Drake London,WR,Falcons,47
HitmonAchanes,Nico Collins,WR,Texans,37
HitmonAchanes,Kyren Williams,RB,Rams,27
HitmonAchanes,Tony Pollard,RB,Titans,5
HitmonAchanes,Bucky Irving,RB,Buccaneers,23
HitmonAchanes,Davante Adams,WR,Rams,12
HitmonAchanes,Joe Burrow,QB,Bengals,10
HitmonAchanes,Kyle Pitts Sr.,TE,Falcons,4
HitmonAchanes,Jonathon Brooks,RB,Panthers,11
HitmonAchanes,Travis Kelce,TE,Chiefs,5
HitmonAchanes,Seahawks,DEF,Seahawks,4
HitmonAchanes,Baker Mayfield,QB,Buccaneers,3
HitmonAchanes,Keenan Allen,WR,Colts,1
HitmonAchanes,Rico Dowdle,RB,Steelers,11
JP'Marrgan Chase,Amon-Ra St. Brown,WR,Lions,59
JP'Marrgan Chase,Colston Loveland,TE,Bears,26
JP'Marrgan Chase,Garrett Wilson,WR,Jets,23
JP'Marrgan Chase,D'Andre Swift,RB,Bears,16
JP'Marrgan Chase,Javonte Williams,RB,Cowboys,27
JP'Marrgan Chase,Rhamondre Stevenson,RB,Patriots,10
JP'Marrgan Chase,Jared Goff,QB,Lions,3
JP'Marrgan Chase,Brock Purdy,QB,49ers,2
JP'Marrgan Chase,De'Zhaun Stribling,WR,49ers,4
JP'Marrgan Chase,Jonah Coleman,RB,Broncos,4
JP'Marrgan Chase,KC Concepcion,WR,Browns,1
JP'Marrgan Chase,Jakobi Meyers,WR,Jaguars,1
JP'Marrgan Chase,Zach Charbonnet,RB,Seahawks,1
JP'Marrgan Chase,Jaylen Waddle,WR,Broncos,20
Jeff,Jahmyr Gibbs,RB,Lions,67
Jeff,Puka Nacua,WR,Rams,55
Jeff,CeeDee Lamb,WR,Cowboys,55
Jeff,Trevor Lawrence,QB,Jaguars,4
Jeff,Dalton Kincaid,TE,Bills,2
Jeff,Chargers,DEF,Chargers,2
Jeff,Josh Downs,WR,Colts,4
Jeff,Kyle Monangai,RB,Bears,3
Jeff,RJ Harvey,RB,Broncos,3
Jeff,Kyler Murray,QB,Vikings,1
Jeff,Juwan Johnson,TE,Saints,1
Jeff,Rashid Shaheed,WR,Seahawks,1
Jeff,Emmett Johnson,RB,Chiefs,1
Jeff,Denzel Boston,WR,Browns,1
Surrender Your Booty,Jaxon Smith-Njigba,WR,Seahawks,61
Surrender Your Booty,Chase Brown,RB,Bengals,55
Surrender Your Booty,David Montgomery,RB,Texans,19
Surrender Your Booty,Jameson Williams,WR,Lions,13
Surrender Your Booty,Drake Maye,QB,Patriots,8
Surrender Your Booty,Bhayshul Tuten,RB,Jaguars,26
Surrender Your Booty,Jaxson Dart,QB,Giants,2
Surrender Your Booty,Jordan Mason,RB,Vikings,3
Surrender Your Booty,Isaiah Likely,TE,Ravens,2
Surrender Your Booty,Quentin Johnston,WR,Chargers,2
Surrender Your Booty,Jalen Coker,WR,Panthers,2
Surrender Your Booty,Makai Lemon,WR,Eagles,2
Surrender Your Booty,Alec Pierce,WR,Colts,2
Surrender Your Booty,Patriots,DEF,Patriots,1
Team Mel,Saquon Barkley,RB,Eagles,50
Team Mel,Brock Bowers,TE,Raiders,43
Team Mel,A.J. Brown,WR,Patriots,42
Team Mel,Ladd McConkey,WR,Chargers,21
Team Mel,Jalen Hurts,QB,Eagles,12
Team Mel,Texans,DEF,Texans,4
Team Mel,Jerry Jeudy,WR,Browns,2
Team Mel,Michael Pittman Jr.,WR,Steelers,3
Team Mel,Jayden Reed,WR,Packers,2
Team Mel,Rachaad White,RB,Commanders,3
Team Mel,Mike Washington Jr.,WR,Raiders,1
Team Mel,Mark Andrews,TE,Ravens,1
Team Mel,Malik Willis,QB,Dolphins,1
Team Mel,Patrick Mahomes,QB,Chiefs,15
Tee Time,James Cook III,RB,Bills,60
Tee Time,Justin Jefferson,WR,Vikings,50
Tee Time,Travis Etienne Jr.,RB,Saints,17
Tee Time,Rashee Rice,WR,Chiefs,28
Tee Time,Tee Higgins,WR,Bengals,25
Tee Time,Caleb Williams,QB,Bears,8
Tee Time,Steelers,DEF,Steelers,1
Tee Time,Michael Wilson,WR,Cardinals,3
Tee Time,George Kittle,TE,49ers,3
Tee Time,Tyjae Spears,RB,Titans,1
Tee Time,Jordan Addison,WR,Vikings,1
Tee Time,Brian Robinson,RB,Falcons,1
Tee Time,Kenyon Sadiq,TE,Jets,1
Tee Time,Ray Davis,RB,Bills,1
The Gungans,Ja'Marr Chase,WR,Bengals,62
The Gungans,Ashton Jeanty,RB,Raiders,33
The Gungans,Josh Allen,QB,Bills,40
The Gungans,Jaguars,DEF,Jaguars,1
The Gungans,Tyler Warren,TE,Colts,18
The Gungans,Jeremiyah Love,RB,Cardinals,18
The Gungans,Rome Odunze,WR,Bears,12
The Gungans,Broncos,DEF,Broncos,3
The Gungans,Christian Watson,WR,Packers,8
The Gungans,Woody Marks,RB,Texans,1
The Gungans,Matthew Golden,WR,Packers,1
The Gungans,Jordan Love,QB,Packers,1
The Gungans,Tyler Allgeier,RB,Cardinals,1
The Gungans,Dalton Schultz,TE,Texans,1
The Wet Bandits,George Pickens,WR,Cowboys,38
The Wet Bandits,Trey McBride,TE,Cardinals,29
The Wet Bandits,Derrick Henry,RB,Ravens,42
The Wet Bandits,Kenneth Walker III,RB,Chiefs,46
The Wet Bandits,Luther Burden III,WR,Bears,16
The Wet Bandits,Dak Prescott,QB,Cowboys,11
The Wet Bandits,Bears,DEF,Bears,1
The Wet Bandits,Jaylen Warren,RB,Steelers,8
The Wet Bandits,Courtland Sutton,WR,Broncos,3
The Wet Bandits,Chris Rodriguez Jr.,RB,Jaguars,1
The Wet Bandits,Deebo Samuel Sr.,WR,49ers,1
The Wet Bandits,Tre Tucker,WR,Raiders,1
The Wet Bandits,Romeo Doubs,WR,Patriots,2
The Wet Bandits,Alvin Kamara,RB,Saints,1
Wild Bill,Bijan Robinson,RB,Falcons,70
Wild Bill,Eagles,DEF,Eagles,3
Wild Bill,Josh Jacobs,RB,Packers,24
Wild Bill,De'Von Achane,RB,Dolphins,42
Wild Bill,Dallas Goedert,TE,Eagles,6
Wild Bill,DJ Moore,WR,Bills,14
Wild Bill,Emeka Egbuka,WR,Buccaneers,21
Wild Bill,Chris Godwin Jr.,WR,Buccaneers,7
Wild Bill,Bo Nix,QB,Broncos,6
Wild Bill,Tyler Shough,QB,Saints,1
Wild Bill,Xavier Worthy,WR,Chiefs,1
Wild Bill,Sam Darnold,QB,Seahawks,1
Wild Bill,Jake Ferguson,TE,Cowboys,1
Wild Bill,Tank Bigsby,RB,Eagles,2
