week,player_name,team_owner,position,points,note
1,Derrick Henry,The Wet Bandits,RB,38.8,
1,Kenneth Walker III,The Wet Bandits,RB,36.6,
1,D'Andre Swift,JP'Marrgan Chase,RB,35.9,
1,Jahmyr Gibbs,Jeff,RB,35.1,
1,Josh Allen,The Gungans,QB,34.98,
1,Ashton Jeanty,The Gungans,RB,33.7,
1,Caleb Williams,Tee Time,QB,31.88,
1,Jalen Coker,Surrender Your Booty,WR,29.8,
1,Christian Watson,The Gungans,WR,29.7,
1,David Montgomery,Surrender Your Booty,RB,27.4,
1,Bijan Robinson,Wild Bill,RB,27.3,
1,Justin Jefferson,Tee Time,WR,27.2,
1,Lamar Jackson,Baby Mama,QB,24.48,
1,Isaiah Likely,Surrender Your Booty,TE,23.8,
1,Amon-Ra St. Brown,JP'Marrgan Chase,WR,23.7,
1,Jonathan Taylor,Maserati Marv,RB,23.6,
1,Zay Flowers,Baby Mama,WR,23.5,
1,Kyle Monangai,Jeff,RB,23.4,
1,Chris Olave,Bye Week,WR,23.2,
1,Steelers,Tee Time,DEF,23.0,
1,Breece Hall,Bye Week,RB,22.8,
1,Chuba Hubbard,Maserati Marv,RB,22.2,
1,Jaxon Smith-Njigba,Surrender Your Booty,WR,22.2,
1,Jaxson Dart,Surrender Your Booty,QB,22.0,
1,Javonte Williams,JP'Marrgan Chase,RB,21.7,
1,Dallas Goedert,Wild Bill,TE,21.7,
1,Trevor Lawrence,Jeff,QB,21.2,
1,Tyler Shough,Wild Bill,QB,21.0,
1,Jalen Hurts,Team Mel,QB,20.66,
1,Trey McBride,The Wet Bandits,TE,20.0,
1,DJ Moore,Wild Bill,WR,18.5,
1,Seahawks,HitmonAchanes,DEF,18.0,
1,Jaguars,The Gungans,DEF,18.0,
1,Patrick Mahomes,Team Mel,QB,17.98,
1,Jordan Love,The Gungans,QB,17.74,
1,Nico Collins,HitmonAchanes,WR,17.7,
1,Brock Purdy,JP'Marrgan Chase,QB,17.0,
1,Parker Washington,Bye Week,WR,16.8,
1,Bucky Irving,HitmonAchanes,RB,16.8,
1,Ladd McConkey,Team Mel,WR,16.7,
1,Chase Brown,Surrender Your Booty,RB,16.3,
1,Dalton Kincaid,Jeff,TE,15.5,
1,Deebo Samuel Sr.,The Wet Bandits,WR,15.0,
1,Jayden Daniels,Maserati Marv,QB,14.38,
1,Cam Skattebo,Baby Mama,RB,14.1,
1,Kyren Williams,HitmonAchanes,RB,14.0,
1,Mike Evans,Baby Mama,WR,13.9,
1,Stefon Diggs,Baby Mama,WR,13.5,
1,CeeDee Lamb,Jeff,WR,12.9,
1,Juwan Johnson,Jeff,TE,12.9,
1,Denzel Boston,Jeff,WR,12.9,
1,Matthew Golden,The Gungans,WR,12.5,
1,Jared Goff,JP'Marrgan Chase,QB,12.32,
1,Malik Willis,Team Mel,QB,12.3,
1,Jacory Croskey-Merritt,Bye Week,RB,12.1,
1,Rhamondre Stevenson,JP'Marrgan Chase,RB,12.0,
1,Jeremiyah Love,The Gungans,RB,12.0,
1,Jordan Mason,Surrender Your Booty,RB,11.9,
1,Christian McCaffrey,Baby Mama,RB,11.3,
1,Travis Etienne Jr.,Tee Time,RB,11.3,
1,Jakobi Meyers,JP'Marrgan Chase,WR,11.2,
1,Patriots,Surrender Your Booty,DEF,11.0,
1,C.J. Stroud,Maserati Marv,QB,10.98,
1,Garrett Wilson,JP'Marrgan Chase,WR,10.9,
1,Dak Prescott,The Wet Bandits,QB,10.9,
1,Aaron Jones Sr.,Baby Mama,RB,10.0,
1,Ravens,Bye Week,DEF,10.0,
1,Malik Nabers,Bye Week,WR,9.9,
1,Puka Nacua,Jeff,WR,9.9,
1,Bhayshul Tuten,Surrender Your Booty,RB,9.3,
